Country,latitude,longitude,Persons
United Kingdom,55.378051,-3.435973,1045986
India,20.593684,78.96288,673352
China,35.86166,104.195397,649766
New Zealand,-40.900557,174.885971,530492
Philippines,12.879721,121.774017,293892
Vietnam,14.058324,108.277199,257997
South Africa,-30.559482,22.937506,189207
Malaysia,4.210484,101.975766,165616
Italy,41.87194,12.56738,163326
Sri Lanka,7.873054,80.771797,131904
Nepal,28.394857,84.124008,122506
South Korea,35.907757,127.766922,102092
United States of America,37.09024,-95.712891,101309
Germany,51.165691,10.451526,101255
Iraq,33.223191,43.679291,92922
