State,Ancestry,Persons,Total
Western Australia,English,1000796,2660026
Western Australia,Australian,789282,2660026
Western Australia,Irish,233323,2660026
Western Australia,Scottish,232541,2660026
Western Australia,Italian,137255,2660026
Western Australia,Chinese,116848,2660026
Western Australia,Australian Aboriginal,81117,2660026
Western Australia,German,78337,2660026
Western Australia,Indian,77357,2660026
Western Australia,Greek,16117,2660026
Northern Territory,Australian Aboriginal,57086,232605
Northern Territory,Australian,56046,232605
Northern Territory,English,53825,232605
Northern Territory,Irish,16924,232605
Northern Territory,Scottish,14630,232605
Northern Territory,German,8341,232605
Northern Territory,Chinese,6933,232605
Northern Territory,Indian,5196,232605
Northern Territory,Italian,4393,232605
Northern Territory,Greek,4271,232605
South Australia,English,676550,1781516
South Australia,Australian,578825,1781516
South Australia,Scottish,149449,1781516
South Australia,Irish,136035,1781516
South Australia,German,135225,1781516
South Australia,Italian,103914,1781516
South Australia,Chinese,58895,1781516
South Australia,Indian,43598,1781516
South Australia,Greek,40704,1781516
South Australia,Australian Aboriginal,39358,1781516
Queensland,English,1959880,5156138
Queensland,Australian,1724657,5156138
Queensland,Irish,567928,5156138
Queensland,Scottish,527011,5156138
Queensland,German,309723,5156138
Queensland,Australian Aboriginal,205922,5156138
Queensland,Chinese,160075,5156138
Queensland,Italian,152571,5156138
Queensland,Indian,93648,5156138
Queensland,Greek,32702,5156138
New South Wales,English,2404990,8072163
New South Wales,Australian,2307549,8072163
New South Wales,Irish,735340,8072163
New South Wales,Scottish,620363,8072163
New South Wales,Chinese,581641,8072163
New South Wales,Italian,301829,8072163
New South Wales,Indian,261103,8072163
New South Wales,Australian Aboriginal,259592,8072163
New South Wales,German,242546,8072163
New South Wales,Greek,141627,8072163
Australian Capital Territory,English,145294,454499
Australian Capital Territory,Australian,143355,454499
Australian Capital Territory,Irish,52661,454499
Australian Capital Territory,Scottish,45452,454499
Australian Capital Territory,Chinese,26047,454499
Australian Capital Territory,Indian,20391,454499
Australian Capital Territory,German,19098,454499
Australian Capital Territory,Italian,15219,454499
Australian Capital Territory,Australian Aboriginal,8627,454499
Australian Capital Territory,Greek,5533,454499
Tasmania,English,243587,557571
Tasmania,Australian,225198,557571
Tasmania,Irish,56619,557571
Tasmania,Scottish,52604,557571
Tasmania,Australian Aboriginal,26926,557571
Tasmania,German,19878,557571
Tasmania,Chinese,12330,557571
Tasmania,Italian,8460,557571
Tasmania,Indian,5859,557571
Tasmania,Greek,2602,557571
Victoria,English,1900089,6503491
Victoria,Australian,1770726,6503491
Victoria,Irish,611788,6503491
Victoria,Scottish,534459,6503491
Victoria,Chinese,427467,6503491
Victoria,Italian,384688,6503491
Victoria,Indian,276770,6503491
Victoria,German,212907,6503491
Victoria,Greek,181184,6503491
Victoria,Australian Aboriginal,62535,6503491
