State,Language,Amount
Western Australia,English,2002771
Western Australia,Others,489043
Western Australia,Not Stated,168204
Northern Territory,English,133262
Northern Territory,Others,75337
Northern Territory,Not Stated,24007
South Australia,English,1382951
South Australia,Others,317287
South Australia,Not Stated,81275
Queensland,English,4151206
Queensland,Others,681877
Queensland,Not Stated,323054
New South Wales,English,5457982
New South Wales,Others,2146080
New South Wales,Not Stated,468099
Australia Capital Territory,English,323854
Australia Capital Territory,Others,111660
Australia Capital Territory,Not Stated,18982
Tasmania,English,479875
Tasmania,Others,48690
Tasmania,Not Stated,29004
Victoria,English,4369804
Victoria,Others,1791786
Victoria,Not Stated,341903
