State,Country of Birth,Persons,Total
Western Australia,England,196885,1011222
Western Australia,New Zealand,75591,1011222
Western Australia,India,61088,1011222
Western Australia,South Africa,44889,1011222
Western Australia,Philippines,37524,1011222
Western Australia,China,28415,1011222
Western Australia,Italy,18175,1011222
Western Australia,Vietnam,18080,1011222
Western Australia,Nepal,4449,1011222
Northern Territory,Philippines,6391,71032
Northern Territory,England,5053,71032
Northern Territory,India,5045,71032
Northern Territory,New Zealand,4041,71032
Northern Territory,Nepal,2994,71032
Northern Territory,China,1705,71032
Northern Territory,Vietnam,1350,71032
Northern Territory,South Africa,949,71032
Northern Territory,Italy,502,71032
South Australia,England,95248,508160
South Australia,India,44881,508160
South Australia,China,25709,508160
South Australia,Vietnam,17033,508160
South Australia,Italy,16653,508160
South Australia,Philippines,15503,508160
South Australia,New Zealand,13461,508160
South Australia,South Africa,8212,508160
South Australia,Nepal,7250,508160
Queensland,New Zealand,208572,146124
Queensland,England,191731,146124
Queensland,India,71819,146124
Queensland,China,55762,146124
Queensland,Philippines,51529,146124
Queensland,South Africa,49699,146124
Queensland,Vietnam,24455,146124
Queensland,Italy,13217,146124
Queensland,Nepal,10806,146124
New South Wales,China,247595,2794572
New South Wales,England,231385,2794572
New South Wales,India,208962,2794572
New South Wales,New Zealand,118527,2794572
New South Wales,Philippines,106930,2794572
New South Wales,Vietnam,97995,2794572
New South Wales,Nepal,64946,2794572
New South Wales,South Africa,49740,2794572
New South Wales,Italy,47197,2794572
Australian Capital Territory,India,17203,147590
Australian Capital Territory,England,13245,147590
Australian Capital Territory,China,12149,147590
Australian Capital Territory,Nepal,5689,147590
Australian Capital Territory,New Zealand,5122,147590
Australian Capital Territory,Philippines,5058,147590
Australian Capital Territory,Vietnam,4082,147590
Australian Capital Territory,South Africa,2338,147590
Australian Capital Territory,Italy,1912,147590
Victoria,India,258193,2274805
Victoria,England,174552,2274805
Victoria,China,171447,2274805
Victoria,New Zealand,99344,2274805
Victoria,Vietnam,93598,2274805
Victoria,Philippines,68463,2274805
Victoria,Italy,64796,2274805
Victoria,South Africa,31274,2274805
Victoria,Nepal,20154,2274805
Tasmania,England,19283,116753
Tasmania,China,6830,116753
Tasmania,Nepal,6219,116753
Tasmania,India,6137,116753
Tasmania,New Zealand,5483,116753
Tasmania,Philippines,2441,116753
Tasmania,South Africa,2089,116753
Tasmania,Vietnam,1390,116753
Tasmania,Italy,874,116753
