State,Language,Amount
Australia,Arabic,367159
Australia,Chinese,1022506
Australia,Greek,229643
Australia,Indo-Aryan,956622
Australia,Italian,228042
Australia,Korean,115531
Australia,SEA Austronesian,338659
Australia,Spanish,171370
Australia,Tamil,95404
Australia,Vietnamese,320758
Western Australia,Arabic,16000
Western Australia,Chinese,75301
Western Australia,Greek,4520
Western Australia,Indo-Aryan,68986
Western Australia,Italian,25432
Western Australia,Korean,6970
Western Australia,SEA Austronesian,51714
Western Australia,Spanish,12958
Western Australia,Tamil,8738
Western Australia,Vietnamese,22763
Northern Territory,Arabic,427
Northern Territory,Chinese,3961
Northern Territory,Greek,3258
Northern Territory,Indo-Aryan,8855
Northern Territory,Italian,668
Northern Territory,Korean,351
Northern Territory,SEA Austronesian,7444
Northern Territory,Spanish,748
Northern Territory,Tamil,544
Northern Territory,Vietnamese,1565
South Australia,Arabic,11033
South Australia,Chinese,43975
South Australia,Greek,21882
South Australia,Indo-Aryan,60904
South Australia,Italian,23828
South Australia,Korean,3695
South Australia,SEA Austronesian,15338
South Australia,Spanish,7273
South Australia,Tamil,3342
South Australia,Vietnamese,21855
Queensland,Arabic,16171
Queensland,Chinese,114824
Queensland,Greek,10475
Queensland,Indo-Aryan,98149
Queensland,Italian,17989
Queensland,Korean,21904
Queensland,SEA Austronesian,46401
Queensland,Spanish,29642
Queensland,Tamil,7336
Queensland,Vietnamese,31370
New South Wales,Arabic,227243
New South Wales,Chinese,435093
New South Wales,Greek,78691
New South Wales,Indo-Aryan,344378
New South Wales,Italian,64039
New South Wales,Korean,62319
New South Wales,SEA Austronesian,125366
New South Wales,Spanish,71868
New South Wales,Tamil,38446
New South Wales,Vietnamese,117907
Australian Capital Territory,Arabic,3867
Australian Capital Territory,Chinese,19155
Australian Capital Territory,Greek,2527
Australian Capital Territory,Indo-Aryan,26923
Australian Capital Territory,Italian,2816
Australian Capital Territory,Korean,2809
Australian Capital Territory,SEA Austronesian,5857
Australian Capital Territory,Spanish,4122
Australian Capital Territory,Tamil,2417
Australian Capital Territory,Vietnamese,5028
Tasmania,Arabic,972
Tasmania,Chinese,9853
Tasmania,Greek,1126
Tasmania,Indo-Aryan,15323
Tasmania,Italian,954
Tasmania,Korean,689
Tasmania,SEA Austronesian,2279
Tasmania,Spanish,1571
Tasmania,Tamil,461
Tasmania,Vietnamese,1467
Victoria,Arabic,91441
Victoria,Chinese,319993
Victoria,Greek,107158
Victoria,Indo-Aryan,333083
Victoria,Italian,92320
Victoria,Korean,16802
Victoria,SEA Austronesian,83501
Victoria,Spanish,43181
Victoria,Tamil,34123
Victoria,Vietnamese,118801
